Model,DPO2024
Firmware Version,1.25

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.0002,
Sample Interval,1.6e-08,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,5
Label,,
TIME,CH1,CH2
-1.00000e-04,-0.01375,0.1
-9.99840e-05,-0.01,0.113281
-9.99680e-05,-0.0175,0.113281
-9.99520e-05,-0.0124219,0.113281
-9.99360e-05,-0.0160938,0.125781
-9.99200e-05,-0.0124219,0.1
-9.99040e-05,-0.015,0.1125
-9.98880e-05,-0.0111719,0.1
-9.98720e-05,-0.0149219,0.113281
-9.98560e-05,-0.01125,0.1
-9.98400e-05,-0.0174219,0.125781
-9.98240e-05,-0.0174219,0.113281
-9.98080e-05,-0.0175,0.1
-9.97920e-05,-0.0124219,0.1
-9.97760e-05,-0.0136719,0.1
-9.97600e-05,-0.0161719,0.1
-9.97440e-05,-0.0149219,0.113281
-9.97280e-05,-0.0124219,0.125781
-9.97120e-05,-0.01375,0.1125
-9.96960e-05,-0.0160938,0.1
-9.96800e-05,-0.00984376,0.1
-9.96640e-05,-0.00992189,0.113281
-9.96480e-05,-0.0149219,0.113281
-9.96320e-05,-0.0124219,0.113281
-9.96160e-05,-0.0149219,0.113281
-9.96000e-05,-0.0149219,0.1
-9.95840e-05,-0.0124219,0.113281
-9.95680e-05,-0.0136719,0.113281
-9.95520e-05,-0.0123438,0.0867188
-9.95360e-05,-0.01375,0.1
-9.95200e-05,-0.01125,0.1
-9.95040e-05,-0.0161719,0.111719
-9.94880e-05,-0.0124219,0.1
-9.94720e-05,-0.0136719,0.113281
-9.94560e-05,-0.01,0.1
-9.94400e-05,-0.0135938,0.1125
-9.94240e-05,-0.0136719,0.1
-9.94080e-05,-0.0174219,0.1
-9.93920e-05,-0.0110938,0.1125
-9.93760e-05,-0.00992189,0.1
-9.93600e-05,-0.0136719,0.125781
-9.93440e-05,-0.015,0.113281
-9.93280e-05,-0.0124219,0.125781
-9.93120e-05,-0.0148438,0.1
-9.92960e-05,-0.0135938,0.100781
-9.92800e-05,-0.0149219,0.1
-9.92640e-05,-0.0149219,0.113281
-9.92480e-05,-0.0175,0.1
-9.92320e-05,-0.0136719,0.1
-9.92160e-05,-0.0161719,0.1
-9.92000e-05,-0.0160938,0.113281
-9.91840e-05,-0.015,0.1
-9.91680e-05,-0.0161719,0.113281
-9.91520e-05,-0.0149219,0.1125
-9.91360e-05,-0.01625,0.1
-9.91200e-05,-0.0148438,0.138281
-9.91040e-05,-0.0148438,0.1
-9.90880e-05,-0.0199219,0.1
-9.90720e-05,-0.0125,0.113281
-9.90560e-05,-0.0124219,0.1
-9.90400e-05,-0.00734376,0.1
-9.90240e-05,-0.0149219,0.125781
-9.90080e-05,-0.0148438,0.1
-9.89920e-05,-0.0186719,0.1
-9.89760e-05,-0.0148438,0.1
-9.89600e-05,-0.0136719,0.113281
-9.89440e-05,-0.01625,0.1
-9.89280e-05,-0.01,0.125781
-9.89120e-05,-0.0175,0.1
-9.88960e-05,-0.0135938,0.113281
-9.88800e-05,-0.0174219,0.1
-9.88640e-05,-0.0136719,0.113281
-9.88480e-05,-0.0173438,0.1
-9.88320e-05,-0.01875,0.1
-9.88160e-05,-0.0124219,0.113281
-9.88000e-05,-0.0124219,0.1125
-9.87840e-05,-0.0135938,0.1
-9.87680e-05,-0.0149219,0.1
-9.87520e-05,-0.0160938,0.113281
-9.87360e-05,-0.0124219,0.0882813
-9.87200e-05,-0.0173438,0.113281
-9.87040e-05,-0.01625,0.1
-9.86880e-05,-0.0186719,0.113281
-9.86720e-05,-0.0210938,0.1
-9.86560e-05,-0.0124219,0.1
-9.86400e-05,-0.0186719,0.125781
-9.86240e-05,-0.0136719,0.1125
-9.86080e-05,-0.01625,0.1
-9.85920e-05,-0.0160938,0.125781
-9.85760e-05,-0.01875,0.125781
-9.85600e-05,-0.00859376,0.1
-9.85440e-05,-0.0136719,0.1
-9.85280e-05,-0.0199219,0.1
-9.85120e-05,-0.0136719,0.1
-9.84960e-05,-0.015,0.113281
-9.84800e-05,-0.0174219,0.1
-9.84640e-05,-0.01375,0.0875001
-9.84480e-05,-0.0160938,0.113281
-9.84320e-05,-0.0185938,0.1
-9.84160e-05,-0.0124219,0.113281
-9.84000e-05,-0.01125,0.0875001
-9.83840e-05,-0.0148438,0.1
-9.83680e-05,-0.015,0.1
-9.83520e-05,-0.01375,0.125781
-9.83360e-05,-0.0135938,0.125781
-9.83200e-05,-0.01875,0.113281
-9.83040e-05,-0.0186719,0.113281
-9.82880e-05,-0.0161719,0.125781
-9.82720e-05,-0.0148438,0.125
-9.82560e-05,-0.0149219,0.113281
-9.82400e-05,-0.0161719,0.113281
-9.82240e-05,-0.0124219,0.100781
-9.82080e-05,-0.0124219,0.15
-9.81920e-05,-0.01375,0.1
-9.81760e-05,-0.0149219,0.1
